Image Name,Category Name,Original Response,OpenAI Response
20210817101242_imagecam.jpeg,damage_photo,YES,YES
20211003192651_16333071927171382693464530700900.jpg,damage_photo,YES,YES
20230718132436_imagecam.jpeg,damage_photo,YES,YES
20210526123317_imagecam.jpeg,exterior_photo,YES,YES
20210809105045_imagecam.jpeg,exterior_photo,YES,YES
20211014154112_16342440623111303568838340120223.jpg,exterior_photo,YES,YES
20210519121612_16214445465354018638129224092010.jpg,filing_cabinets_lock_photo,YES,YES
20211014155537_16342449250635253984030886278091.jpg,filing_cabinets_lock_photo,YES,YES
20220421154335_16505737931742048657815156487511.jpg,filing_cabinets_lock_photo,YES,YES
20210619120208_20210617_213340.jpg,foundation_condition_image,YES,YES
20210920163804_imagecam.jpeg,foundation_condition_image,YES,YES
20240312175306_imagecam.jpeg,foundation_condition_image,YES,YES
20201126070425_imagecam.jpeg,front_of_property_image,YES,YES
20210203090159_16123645093105192780837725573867.jpg,front_of_property_image,YES,YES
20210827170827_imagecam.jpeg,front_of_property_image,YES,YES
20191004094000_imagecam.jpeg,garage_stalls_image,YES,YES
20200416093205_15870475145751692029230014496602.jpg,garage_stalls_image,YES,YES
20230510165342_16837555956111001303099679590290.jpg,garage_stalls_image,YES,YES
20210809105336_imagecam.jpeg,interior_door_photo,YES,YES
20210813095619_16288665493827212476134229531719.jpg,interior_door_photo,YES,YES
20211028082612_imagecam.jpeg,interior_door_photo,YES,YES
20200503154141_imagecam.jpeg,interior_kitchen_photo,YES,YES
20210210150332_imagecam.jpeg,interior_kitchen_photo,YES,YES
20240109194337_17048509897897574653871847601970.jpg,interior_kitchen_photo,YES,YES
20201119070841_16057912941389142643918569545404.jpg,interior_main_living_area_photo,YES,YES
20210221145844_16139410949878498215174216685984.jpg,interior_main_living_area_photo,YES,YES
20240508134328_imagecam.jpeg,interior_main_living_area_photo,YES,YES
20200207120150_imagecam.jpeg,interior_master_bathroom_photo,YES,YES
20210621181617_imagecam.jpeg,interior_master_bathroom_photo,YES,YES
20211207154302_imagecam.jpeg,interior_master_bathroom_photo,YES,YES
20200903112605_imagecam.jpeg,interior_master_bedroom_photo,YES,YES
20220210092358_imagecam.jpeg,interior_master_bedroom_photo,YES,YES
20220424173830_16508398497805607274972626755723.jpg,interior_master_bedroom_photo,YES,YES
20191010193452_imagecam.jpeg,interior_other_features_photo,YES,YES
20200403154449_imagecam.jpeg,interior_other_features_photo,YES,YES
20200428185357_imagecam.jpeg,interior_other_features_photo,YES,YES
20200905101043_15993186249117276881503577672578.jpg,interior_overall_condition_photo,YES,YES
20201028120743_16039048444656293106278370891648.jpg,interior_overall_condition_photo,YES,YES
20230210112815_imagecam.jpeg,interior_overall_condition_photo,YES,YES
20221201141522_imagecam.jpeg,interior_primary_bathroom_photo,YES,YES
20230213075050_imagecam.jpeg,interior_primary_bathroom_photo,YES,YES
20240619133921_imagecam.jpeg,interior_primary_bathroom_photo,YES,YES
20220610124236_imagecam.jpeg,interior_primary_bedroom_photo,YES,YES
20240522123535_1716399322324801508954495611748.jpg,interior_primary_bedroom_photo,YES,YES
20240610213105_imagecam.jpeg,interior_primary_bedroom_photo,YES,YES
20200701054018_imagecam.jpeg,landscape_condition_image,YES,YES
20210202125324_imagecam.jpeg,landscape_condition_image,YES,YES
20221101095328_imagecam.jpeg,landscape_condition_image,YES,NO
20211014154840_1634244509826494554061033368943.jpg,lockable_file_cabinet_safe_photo,YES,YES
20211028082931_imagecam.jpeg,lockable_file_cabinet_safe_photo,YES,YES
20220421153237_16505731433057801802735409024882.jpg,lockable_file_cabinet_safe_photo,YES,YES
20210520090621_imagecam.jpeg,office_separate_photo,YES,YES
20210809105433_imagecam.jpeg,office_separate_photo,YES,YES
20211014154641_16342443901323806322666221750951.jpg,office_separate_photo,YES,YES
20200819102751_15978508282605061714361104678590.jpg,other_properties_for_sale_image,YES,YES
20200821155501_15980432853183653824157840135829.jpg,other_properties_for_sale_image,YES,YES
20240505152111_imagecam.jpeg,other_properties_for_sale_image,YES,YES
20210520091249_imagecam.jpeg,other_side_interior_door_photo,YES,YES
20210526124522_imagecam.jpeg,other_side_interior_door_photo,YES,YES
20210809105904_imagecam.jpeg,other_side_interior_door_photo,YES,YES
20190921092440_imagecam.jpeg,property_address_verification_image,YES,YES
20200303161820_imagecam.jpeg,property_address_verification_image,YES,YES
20200723125221_imagecam.jpeg,property_address_verification_image,YES,YES
20190418144122_2019_04_18_15_40_50.jpg,property_occupied_image,YES,YES
20200428181508_imagecam.jpeg,property_occupied_image,YES,YES
20220607170347_imagecam.jpeg,property_occupied_image,YES,YES
20210407151022_imagecam.jpeg,roof_condition_image,YES,YES
20210408111933_16178987577601305427099754257534.jpg,roof_condition_image,YES,YES
20240710145258_17206411580353885995236789172388.jpg,roof_condition_image,YES,YES
20191205123014_15755705785987301027136355707136.jpg,siding_condition_image,YES,YES
20200414115933_imagecam.jpeg,siding_condition_image,YES,YES
20200418081235_15872157049606018143103786849412.jpg,siding_condition_image,YES,YES
20180115122025_imagecam.jpeg,street_view_from_front_door_image,YES,YES
20190805122235_imagecam.jpeg,street_view_from_front_door_image,YES,YES
20220427164358_imagecam.jpeg,street_view_from_front_door_image,YES,YES
20180606134234_1528310536764789505566.jpg,street_view_from_street_image,YES,YES
20180610160127_imagecam.jpeg,street_view_from_street_image,YES,YES
20191217123413_imagecam.jpeg,street_view_from_street_image,YES,YES
20180510173207_imagecam.jpeg,windows_condition_image,YES,YES
20190623082947_imagecam.jpeg,windows_condition_image,YES,YES
20240716105648_imagecam.jpeg,windows_condition_image,YES,YES
